current_task,seed,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9
0,2,77.84,5.3,4.619999999999999,5.159999999999999,4.62,4.88,4.58,5.720000000000001,4.720000000000001,5.700000000000001
1,2,66.44,70.92,4.8,4.74,4.64,5.459999999999999,4.760000000000001,5.5200000000000005,4.62,4.7
2,2,61.44,54.580000000000005,80.0,4.359999999999999,5.5600000000000005,5.96,4.82,5.4799999999999995,4.82,5.3999999999999995
3,2,57.98,49.32000000000001,61.7,81.67999999999999,5.419999999999999,5.2,4.619999999999999,4.6,4.38,6.1
4,2,56.02,47.67999999999999,58.0,62.21999999999999,79.97999999999999,5.4,5.58,5.4399999999999995,5.32,4.68
5,2,52.8,45.67999999999999,55.04,56.4,60.620000000000005,76.02,5.4399999999999995,6.0200000000000005,5.039999999999999,4.840000000000001
6,2,50.379999999999995,42.160000000000004,51.279999999999994,50.839999999999996,53.64,58.98,78.44,5.06,5.46,4.84
7,2,48.080000000000005,40.50000000000001,50.42,47.88000000000001,51.21999999999999,53.64,60.06,77.0,4.64,5.4399999999999995
8,2,47.339999999999996,40.2,48.28,44.919999999999995,48.04,47.48,50.7,54.160000000000004,74.43999999999998,4.9
9,2,47.059999999999995,38.980000000000004,47.239999999999995,43.98,46.559999999999995,47.260000000000005,47.92,46.56,46.84,79.88
