current_task,seed,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9
0,1.5,81.5,10.399999999999999,9.15,8.55,9.475,7.925,9.525,10.9,11.075000000000001,8.575
1,1.5,81.575,81.45,10.549999999999999,8.375,12.399999999999999,9.8,9.375000000000002,9.6,10.75,9.5
2,1.5,78.575,74.225,82.55,9.475,10.275,9.575,10.7,10.350000000000001,10.75,10.525
3,1.5,78.925,72.95,77.1,83.85,10.225000000000001,10.775,11.675,9.399999999999999,9.225000000000001,10.0
4,1.5,74.95,69.60000000000001,74.7,74.69999999999999,83.05,11.4,10.45,9.35,9.775,9.675
5,1.5,74.8,68.375,72.125,71.77499999999999,75.625,82.275,8.65,7.775,9.35,10.6
6,1.5,70.9,66.05,71.2,70.725,73.85,72.5,84.25,9.65,9.225000000000001,10.45
7,1.5,71.125,66.55,71.6,68.6,72.15,71.425,74.95,80.80000000000001,9.15,11.075
8,1.5,71.275,66.4,69.0,67.3,68.3,72.55000000000001,72.42500000000001,73.7,85.3,9.649999999999999
9,1.5,67.45,62.875,67.3,67.8,69.60000000000001,67.85,70.475,69.05,73.85,87.05
