current_task,seed,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9
0,1,81.56666666666666,9.6,9.366666666666667,8.5,9.433333333333334,7.133333333333333,10.433333333333334,12.333333333333334,11.566666666666668,6.6000000000000005
1,1,81.23333333333333,81.03333333333333,10.533333333333333,7.8999999999999995,12.933333333333332,9.266666666666667,9.933333333333335,11.1,11.333333333333334,9.133333333333333
2,1,79.2,73.76666666666667,81.63333333333334,9.933333333333334,10.566666666666666,8.333333333333334,10.866666666666667,11.4,11.266666666666666,10.0
3,1,79.16666666666667,73.23333333333333,77.66666666666667,83.33333333333333,10.9,10.533333333333333,11.566666666666668,9.866666666666665,9.566666666666668,10.033333333333333
4,1,74.56666666666668,69.7,74.26666666666667,75.13333333333333,82.83333333333333,12.733333333333334,9.266666666666667,9.233333333333333,10.833333333333334,10.566666666666668
5,1,74.13333333333334,67.56666666666668,72.1,71.69999999999999,74.73333333333333,81.7,8.733333333333333,8.566666666666666,10.6,10.766666666666666
6,1,70.73333333333333,65.96666666666667,70.93333333333334,70.16666666666667,73.43333333333334,71.3,83.33333333333333,9.866666666666667,10.933333333333335,10.299999999999999
7,1,71.2,66.3,70.76666666666667,67.60000000000001,71.86666666666666,71.89999999999999,74.3,79.76666666666667,10.633333333333333,10.133333333333333
8,1,71.89999999999999,67.06666666666666,69.03333333333335,67.63333333333333,69.7,72.76666666666667,73.43333333333334,73.3,85.06666666666666,9.933333333333332
9,1,67.36666666666666,64.3,68.3,67.56666666666666,69.03333333333335,67.26666666666667,70.16666666666667,69.96666666666665,72.83333333333333,86.56666666666666
