current_task,seed,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9
0,1,84.36666666666666,8.666666666666666,9.133333333333333,8.833333333333334,12.866666666666667,10.266666666666666,11.933333333333332,8.366666666666667,6.366666666666667,8.833333333333334
1,1,81.5,76.63333333333334,9.833333333333334,9.533333333333333,12.333333333333334,9.6,8.466666666666667,9.299999999999999,8.299999999999999,8.866666666666665
2,1,79.2,69.93333333333334,79.73333333333333,8.533333333333333,9.466666666666667,11.799999999999999,8.466666666666667,8.833333333333334,8.200000000000001,9.200000000000001
3,1,77.93333333333334,67.7,73.03333333333335,78.3,8.066666666666668,11.666666666666666,6.1000000000000005,9.9,6.6000000000000005,9.133333333333333
4,1,76.0,63.0,71.73333333333333,74.0,81.66666666666667,12.733333333333334,8.033333333333333,9.4,7.566666666666666,8.033333333333333
5,1,75.53333333333333,57.73333333333333,68.8,70.49999999999999,76.96666666666667,81.8,8.966666666666667,13.733333333333334,10.133333333333333,8.166666666666666
6,1,73.06666666666666,57.76666666666667,65.89999999999999,67.86666666666667,73.33333333333333,76.93333333333334,79.86666666666666,11.633333333333333,10.533333333333333,8.200000000000001
7,1,74.1,56.800000000000004,66.63333333333333,66.9,71.73333333333333,73.63333333333333,76.83333333333333,78.7,7.866666666666667,9.733333333333334
8,1,74.1,56.86666666666667,64.96666666666665,66.03333333333335,72.33333333333333,72.39999999999999,74.13333333333333,75.60000000000001,81.66666666666667,8.333333333333334
9,1,73.8,56.633333333333326,63.800000000000004,65.96666666666665,69.5,72.0,73.03333333333333,72.36666666666666,76.0,86.16666666666667
